id	title	description	price	condition	link	availability	image_link
11	GIONEE WIRED HAND FREE ORIGINAL	Universal 3.5mm Stereo Earphones deliver powerful Hi-Fi sound with deep bass, clear audio quality, and a built-in microphone for calls and music control. Designed for maximum comfort and everyday performance, these earphones provide a secure fit for long listening sessions. Compatible with all 3.5mm devices, they are perfect for gaming, music, videos, and hands-free calling.	399 PKR	new	https://multantech.store/products/gionee-wired-handsfree-original.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1779278903/477ccdde521775718752_gocbtq.jpg
12	SPEEDX SP-S188L 3IN1 22.5W 10000MAH FAST CHARGING POWER BANK	Stay powered up on the go with the SpeedX SP-S188L 3-in-1 Power Bank. Designed with a sleek and durable body, this portable charger ensures your devices never run out of battery when you need them the most.	2700 PKR	new	https://multantech.store/products/speedx-sp-s188l-3in1-power-bank.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1781869841/91d6e6d5c81775564704_wbg8lo.jpg
13	SPEEDX SP-S185 22.5W 10000MAH SUPER FAST CHARGING POWER BANK	SpeedX SP-S185 22.5W 10000mAh Super Fast Charging Power Bank features Apple PD 20W and Android 22.5W super fast charging with a built-in two-way Type-C cable and smart LED digital display. Charges up to 50% in 30 minutes.	2999 PKR	new	https://multantech.store/products/speedx-sp-s185-225w-power-bank.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1781871743/68b8b967401775565059_v9oh5j.jpg
14	IMPORTED POWER CABLE FOR LAPTOP 1.5M	Features high quality components making this cable suitable for use in both the home and professional environments with a wide range of electrical products. This type of connector has a 2.5 Amp. current rating and are commonly used in computer equipment including laptop, Notebook and power supply applications and portable projectors. 100% brand new power cable cord. Light weight and compact design. Insulation material: PVC. Connector AMP/Voltage: 2.5A 250V.	300 PKR	new	https://multantech.store/products/imported-power-cable-laptop-1.5m.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784434279/5d876c22181775541577_mizdhr.jpg
15	IMPORTED POWER CABLE FOR DESKTOP PC COMPUTER 1.5M	100% brand new imported power cable cord for desktop PC computers. Features a pure copper conductor for superior electrical conductivity, stable power delivery, and minimal heat generation. Durable PVC insulation protects against wear, bending, and environmental stress. Lightweight and compact design makes cable management easy for both home and office desktop setups. Standard 3-pin IEC C13 connector fits the vast majority of desktop PC power supplies, monitors, and UPS systems.	320 PKR	new	https://multantech.store/products/imported-power-cable-desktop-pc-1.5m.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784451958/28a312bded1775538817_muknrx.jpg
16	V200 NEW FASHION ULTRA 2.2 LARGE SCREEN IP68 WATERPROOF SPORT SMART WATCH WITH WEARFIT PRO APP ORANGE	V200 Ultra Smart Watch features a stunning 2.2-inch square TFT display (240x296), IP68 waterproof rating, Bluetooth 5.2 for calls, heart rate monitoring, blood pressure & oxygen tracking, and 300+ dial options. Powered by the WearFit Pro app, it supports Android 5.0+ & iOS 10.0+, offers 65-day standby, 220mAh battery, wireless charging, sleep monitoring, sports mode, and multi-language support. Zinc alloy body with silica gel strap.	1600 PKR	new	https://multantech.store/products/v200-ultra-smartwatch-orange.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784474010/201756535687_m1nke3.jpg
17	X8 PLUS ULTRA SMART WATCH SERIES 8 NFC 2.08 INCH ALWAYS-ON DISPLAY & WIRELESS CHARGING 49MM WITH WEARFIT PRO APP ORANGE	X8 Plus Ultra Smart Watch Series 8 features a stylish 49mm design, 2.08-inch TFT display (240x296) with Always-on function, NFC, IP67 waterproof rating, and Bluetooth 5.2. Enjoy a smooth menu, wireless charging, and compatibility with Android and iOS smartphones via the WearFit Pro app. Includes built-in loudspeaker and motor for calls and notifications.	1999 PKR	new	https://multantech.store/products/x8-plus-ultra-smartwatch-orange.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784479496/4bb34f06af1775616506_ebjuac.jpg
18	2.2 INCH X8 ULTRA MAX WITH COMPASS SMART WATCH SERIES 8 NFC ALWAYS-ON DISPLAY & WIRELESS CHARGING WITH WEARFIT PRO APP ORANGE	X8 Ultra Max adds many functions, such as Strap Lock, Real Screw, body temperature, GPS Positioning, Altitude barometer, compass, Video Control, and a 2.2 inch large screen.	2200 PKR	new	https://multantech.store/products/x8-ultra-max-smartwatch-orange.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784483705/00d493f53b1775615970_pyywai.jpg
19	VGA CABLE MALE TO MALE 1.5M BLUE	The VGA 3+4 connection cables are widely used in HD TVs, set-top boxes, HD players, computers, projectors, etc. Screw-in VGA cable with 15P male input and male output for secure connection.	200 PKR	new	https://multantech.store/products/vga-cable-male-to-male-1.5m-blue.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784567278/2a0612cfe811782193851_ra4vms.jpg
20	SPEEDX ALFA W114 3DBI RTL8188FTV-VC ANTENNA WIFI USB ADAPTER 300MBPS	WiFi USB Adapter with 3dBi external antenna and RTL8188FTV-VC chipset. 300Mbps wireless N speeds. Compatible with Raspberry Pi, IPTV MAG250/254, Skybox, Windows, Mac and Linux.	799 PKR	new	https://multantech.store/products/speedx-alfa-w114-wifi-usb-adapter.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784567898/f9112823f61775560487_azugj9.jpg
21	XTRIKE ME GH712 RGB GAMING HEADSET WITH NOISE REDUCTION MICROPHONE WHITE	RGB gaming headset with 50mm drivers, noise-reduction omnidirectional microphone, and braided 2m cable. Compatible with PS5, PS4, Xbox, Switch, and PC via 3.5mm CTIA.	3999 PKR	new	https://multantech.store/products/xtrike-me-gh712-rgb-gaming-headset-white.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784568721/1d655452721774350114_g3ct4s.jpg
22	ROMOSS SENSE 8P+ PLUS 30000MAH 18W PD + QC FAST CHARGING POWER BANK	30000mAh power bank with 18W PD + QC fast charging. 3 inputs (Micro-USB, Lightning, Type-C), 3 outputs, LED digital display. Charges 3 devices simultaneously.	5999 PKR	new	https://multantech.store/products/romoss-sense-8p-plus-30000mah-power-bank.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784569432/cc7bd0048d1776510783_zh8imj.jpg
23	XTRIKE ME HD-215 BLUETOOTH 5.3V WIRELESS HEADSET COMFORTABLE & ERGONOMIC DESIGN	Xtrike Me HD-215 Bluetooth 5.3 Wireless Headset – Stereo Sound & Comfort. Experience premium audio freedom designed for gamers, music lovers, and professionals. Foldable, portable, and equipped with noise isolation technology for clean listening.	2499 PKR	new	https://multantech.store/products/xtrike-me-hd-215-bluetooth-headset.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784653245/d034cef0131773897924_d3xwvu.jpg
24	XTRIKE-ME GH-513W WH TRI-MODE ( BT 6.0, 2.4GH WIRELESS AND WIRED ) GAMING HEADSET	Experience immersive audio and seamless connectivity with the GH-513W WH Tri-Mode Gaming Headset. Engineered with Bluetooth 6.0, 2.4G wireless, and Type-C wired connectivity, it features 40mm speakers, dual EQ modes, and wide multi-device compatibility.	4999 PKR	new	https://multantech.store/products/xtrike-me-gh-513w-tri-mode-headset.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784653521/1056056411774349907_eilzjr.jpg
25	ONIKUMA K19 RGB WIRED STEREO GAMING HEADSET TRUE NOISE CANCELLATION, USB+3.5MM AUDIO PLUG FOR PS4/PC/XBOX ONE CONTROLLER/LAPTOP, BLACK	ONIKUMA K19 RGB wired gaming headset with true noise cancellation, 50mm audio drivers, dazzling RGB LED lights, and dual USB+3.5mm plug. Multi-platform compatible with PS4, Xbox One, PC, Nintendo Switch, tablets, and smartphones. Plug-and-play with inline volume and mic mute control.	3499 PKR	new	https://multantech.store/products/onikuma-k19-rgb-gaming-headset.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784654593/98164bcfe51774350607_roro5o.jpg
26	NIA WH700 OVER EAR WIRELESS STEREO BLUETOOTH HEADPHONES WITH MIC, FM RADIO & TF CARD SUPPORT	NIA WH700 over-ear wireless Bluetooth 5.0 headphones with built-in microphone, FM radio, TF card playback, IPX-4 waterproof rating, and stereo sound. Compatible with mobile phones, PC, tablets, and portable media players. Volume control and inline call control included.	2799 PKR	new	https://multantech.store/products/nia-wh700-wireless-bluetooth-headphones.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784655097/7a296413351773901391_qtei2x.jpg
27	NIA S4000 BLUETOOTH HEADSET WIRELESS & WIRED FM RADIO TF CARD APP CONTROL	NIA S4000 Bluetooth headset with wireless and wired dual-mode connection, FM Radio, TF card playback, APP control, and 40mm HD drivers. 6–8 hour playback, 200-hour standby, 10M wireless range and 2-hour fast charge.	3499 PKR	new	https://multantech.store/products/nia-s4000-bluetooth-headset.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784655890/pomelli_photoshoot_image_1_1_0721_2_mn4xwr.jpg
28	XTRIKE ME KB-512 BK 108 KEY WIRED MECHANICAL FEEL USB-C KEYBOARD BLACK	Xtrike Me KB-512 BK 108-Key Wired Membrane Keyboard - USB-C, Mute Switch with Mechanical Feel, F1-F12 Multimedia Keys, Durable Construction, Compact Design - Black	3299 PKR	new	https://multantech.store/products/xtrike-me-kb-512-bk-keyboard.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784888760/6da9c0870b1774697120_gjtvuj.jpg
29	LOGITECH WIRELESS COMBO KEYBOARD MK290	Logitech Wireless Combo Keyboard MK290 features a complete wireless keyboard and optical mouse setup with long battery life. High reliability, plug-and-play, and programmable hot keys.	2799 PKR	new	https://multantech.store/products/logitech-wireless-combo-keyboard-mk290.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784889286/85ed2a32ea1774698053_wrutt3.jpg
30	APPLE WIRELESS KEYBOARD MOUSE MINI	Apple Wireless Keyboard Mouse Mini features an integrated ergonomic tilt, thin enclosure, crisp tactile feel, and compact design. Dual support for Apple, Android, Windows, and general USB platforms.	2399 PKR	new	https://multantech.store/products/apple-wireless-keyboard-mouse-mini.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784889826/a342ab6cb41774698323_i7c9tu.jpg
31	APPLE AIRPODS 4 BT 5.3V USB-C & WIRELESS CHARGING CASE	Apple AirPods 4 with active noise cancellation (ANC), H2 chip, adaptive audio, spatial audio, force sensor control, and wireless charging case.	2499 PKR	new	https://multantech.store/products/apple-airpods-4.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784890785/4dbaa36c8d1764237267_zwb5sm.jpg
32	SAMSUNG GALAXY BUDS3 PRO R630 WIRELESS CHARGING EARBUDS BLACK	Samsung Galaxy Buds3 Pro with Galaxy AI-powered Adaptive Noise Cancellation, adaptive equalizer, real-time translation, intuitive touch controls, wireless charging case, and all-day comfort design.	2399 PKR	new	https://multantech.store/products/samsung-galaxy-buds3-pro-r630.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784918143/4b988bcd0b1773828240_rpwap8.jpg
33	LENOVO HE05 NECKBAND HEADPHONE (ORIGINAL)	Original Lenovo HE05 Wireless Neckband Headphone featuring Bluetooth 5.0, CVC noise canceling microphone, IPX5 waterproof rating, 8 hours playback time, and ergonomic magnetic earbud design.	1250 PKR	new	https://multantech.store/products/lenovo-he05-neckband-headphone.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784964030/9f8c504afb1773829346_d72wll.jpg
34	SAMSUNG GALAXY BUDS FE WIRELESS EARBUDS SM-R400N WHITE	New Samsung Galaxy Buds FE SM-R400N in White featuring Active Noise Cancellation (ANC), 3-mic DNN clear calling, boosted bass diaphragm, up to 30 hours battery, and SmartThings Find support.	2999 PKR	new	https://multantech.store/products/samsung-galaxy-buds-fe-sm-r400n-white.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784964882/37560109831764239455_tzhipn.jpg
35	LENOVO LECOO EW301 TWS WIRELESS BLUETOOTH EARBUDS	Lenovo Lecoo EW301 TWS True Wireless Bluetooth 5.0 Earbuds with smart touch control, built-in microphone, 10m range, 3 hours playback time per earbud, and compact charging case.	1499 PKR	new	https://multantech.store/products/lenovo-lecoo-ew301-tws-wireless-earbuds.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784967544/b986fccd751763810953_e610xa.jpg
36	XIAOMI MI TRUE WIRELESS EARBUDS BASIC 2 BLUETOOTH 5.0 HEADPHONES ANTI-SWEAT IPX4	Xiaomi Mi True Wireless Earbuds Basic 2 featuring Bluetooth 5.0, 7.2mm custom dynamic sound drivers, automatic pairing, anti-sweat IPX4 rating, one-button tactile control, and voice assistant support.	3499 PKR	new	https://multantech.store/products/xiaomi-mi-true-wireless-earbuds-basic-2.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784967765/88705f22731764408878_wg7txj.jpg
37	FIBER PATCHCORD SC/UPC SM DUPLEX DUAL CORE OPTICAL CABLE 5M	High-performance SC/UPC Single Mode Duplex Dual Core Fiber Optic Patchcord 5m. Ideal for telecom networks, FTTH, LAN/MAN, CATV, and data centers with minimal signal loss and high temperature stability.	999 PKR	new	https://multantech.store/products/fiber-patchcord-sc-upc-sm-duplex-5m.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784968407/77cce9e5481775558715_ultumg.jpg
38	REMAX RM-703A TYPE C LIGHTWEIGHT HANDFREE	REMAX RM-703 Wired Headphones featuring 360° surround sound, digital analyzer chip for lossless audio, zero AV latency for gaming, 3-button wire control, and 1.2m comfortable lightweight design.	1199 PKR	new	https://multantech.store/products/remax-rm-703a-type-c-lightweight-handfree.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1784968766/bbc6d5b6921775716718_j1zgwm.jpg
39	M2 SSD ENCLOSURE, USB 3.1 GEN 2 (10 GBPS) NGFF CASE	M.2 SSD Enclosure with USB 3.1 Gen 2 (10 Gbps). Supports NGFF M.2 drives in 2230, 2242, 2260, and 2280 form factors. Dual interface: USB 3.0 Micro-B and USB 3.1 Type-C. Compatible with Desktop, Laptop, Smart TV (USB interface), and Android OTG phones.	1999 PKR	new	https://multantech.store/products/m2-ssd-enclosure-usb-3-1-gen2.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785231604/df89c54e911774442706_rwis7h.jpg
40	SEAGATE EXPANSION HDD USB 3.0 PORTABLE 2.5 INCH EXTERNAL HARD DRIVE CASE	Seagate Expansion Portable HDD with USB 3.0 interface delivering up to 120MB/s. 2.5 inch compact form factor, plug & play, bus-powered, 120GB to 1TB capacity. Compatible with Windows 7/8/10/11 (Mac requires reformat).	1199 PKR	new	https://multantech.store/products/seagate-expansion-hdd-usb3-2-5inch-external.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785232518/0758026fec1774440062_cvigtj.jpg
41	HP PAVILION BLUE PIN LAPTOP CHARGER 19.5V 3.33A 65W (PIN SIZE 4.5*3.0)	HP Pavilion Laptop Charger 19.5V 3.33A 65W with 4.5mm x 3.0mm Blue Pin connector. Durable power supply adapter compatible with HP Pavilion Sleekbook 14, 15 series and various HP laptops.	1399 PKR	new	https://multantech.store/products/hp-pavilion-blue-pin-laptop-charger-65w.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785235272/16e4d48e791775024578_tyispm.jpg
42	LENOVO 65W USB-C AC LAPTOP CHARGER	Lenovo 65W USB-C AC Laptop Charger Adapter. Smart multi-voltage output (20V 3.25A / 15V 3A / 9V 2A / 5V 2A). Compatible with Lenovo ThinkPad T480, E480, X1 Carbon, Yoga 720/920, and IdeaPad USB-C laptops.	1999 PKR	new	https://multantech.store/products/lenovo-65w-usb-c-ac-laptop-charger.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785236779/27167b2ced1775478343_ccxqva.jpg
43	HP 65W TYPE-C AC ADAPTER LAPTOP CHARGER	HP 65W Type-C AC Adapter Laptop Charger. Features smart PD multi-voltage output up to 20V 3.25A with built-in surge protection. Compact lightweight power supply for HP Spectre, Envy, Pavilion Type-C laptops.	1999 PKR	new	https://multantech.store/products/hp-65w-type-c-ac-adapter-laptop-charger.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785237202/fc9cfa83a21775024636_drg84y.jpg
44	HP CENTRINO PIN CHARGER 19V 4.7A 90W (PIN 7.4X5.0)	Standard HP Centrino Laptop Charger 19V 4.7A 90W with 7.4mm x 5.0mm pin. Durable AC adapter with standard voltage control, compatible with HP Centrino pin laptops.	1499 PKR	new	https://multantech.store/products/hp-centrino-pin-laptop-charger-90w.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785289596/c37a0e4aac1775024488_ut915p.jpg
45	DELL 65W USB-C POWER ADAPTER LAPTOP CHARGER	Dell 65W USB-C Power Adapter Laptop Charger with smart voltage technology. Delivers 5V/3A, 9V/3A, 15V/3A or 20V/3.25A automatically. Compatible with USB-C enabled Dell laptops and tablets.	2299 PKR	new	https://multantech.store/products/dell-65w-usb-c-power-adapter-laptop-charger.html	in stock	https://res.cloudinary.com/dyrncibsu/image/upload/v1785290705/efa2812ada1775476974_fuvm2h.jpg
